Dist,Fairway,Rough,Sand,Recovery,Green,Tee
271,3.7,3.74,3.81,4.068,,3.58
272,3.7,3.74,3.81,4.072,,3.59
273,3.7,3.74,3.81,4.076,,3.6
274,3.7,3.74,3.81,4.079,,3.61
275,3.7,3.74,3.81,4.082,,3.62
276,3.7,3.74,3.81,4.086,,3.625
277,3.7,3.74,3.81,4.09,,3.63
278,3.7,3.74,3.81,4.093,,3.634
279,3.7,3.74,3.81,4.096,,3.639
280,3.7,3.74,3.81,4.1,,3.644
281,3.7,3.74,3.81,4.105,,3.649
282,3.7,3.74,3.81,4.11,,3.653
283,3.7,3.74,3.81,4.115,,3.658
284,3.7,3.74,3.81,4.12,,3.663
285,3.7,3.74,3.81,4.125,,3.668
286,3.7,3.74,3.81,4.13,,3.673
287,3.7,3.74,3.81,4.135,,3.677
288,3.7,3.74,3.81,4.14,,3.682
289,3.7,3.74,3.81,4.145,,3.687
290,3.7,3.74,3.81,4.15,,3.692
291,3.7,3.74,3.81,4.155,,3.697
292,3.7,3.74,3.81,4.16,,3.701
293,3.7,3.74,3.81,4.165,,3.706
294,3.7,3.74,3.81,4.17,,3.711
295,3.7,3.74,3.81,4.175,,3.716
296,3.7,3.74,3.81,4.18,,3.72
297,3.7,3.74,3.81,4.185,,3.725
298,3.7,3.74,3.81,4.19,,3.73
299,3.7,3.74,3.81,4.195,,3.735
300,3.7,3.74,3.81,4.2,,3.74
301,3.7,3.74,3.81,4.206,,3.743
302,3.7,3.74,3.81,4.211,,3.747
303,3.7,3.74,3.81,4.216,,3.75
304,3.7,3.74,3.81,4.222,,3.755
305,3.7,3.74,3.81,4.228,,3.76
306,3.7,3.74,3.81,4.233,,3.765
307,3.7,3.74,3.81,4.238,,3.77
308,3.7,3.74,3.81,4.244,,3.775
309,3.7,3.74,3.81,4.25,,3.78
310,3.7,3.74,3.81,4.255,,3.785
311,3.7,3.74,3.81,4.26,,3.79
312,3.7,3.74,3.81,4.266,,3.795
313,3.7,3.74,3.81,4.272,,3.8
314,3.7,3.74,3.81,4.277,,3.805
315,3.7,3.74,3.81,4.282,,3.81
316,3.7,3.74,3.81,4.288,,3.815
317,3.7,3.74,3.81,4.294,,3.82
318,3.7,3.74,3.81,4.299,,3.825
319,3.7,3.74,3.81,4.304,,3.83
320,3.7,3.74,3.81,4.31,,3.833
321,3.7,3.74,3.81,4.316,,3.835
322,3.7,3.74,3.81,4.323,,3.838
323,3.7,3.74,3.81,4.329,,3.841
324,3.7,3.74,3.81,4.336,,3.844
325,3.7,3.74,3.81,4.342,,3.846
326,3.7,3.74,3.81,4.349,,3.849
327,3.7,3.74,3.81,4.356,,3.852
328,3.7,3.74,3.81,4.362,,3.855
329,3.7,3.74,3.81,4.368,,3.857
330,3.7,3.74,3.81,4.375,,3.86
331,3.7,3.74,3.81,4.382,,3.86
332,3.7,3.74,3.81,4.388,,3.86
333,3.7,3.74,3.81,4.394,,3.865
334,3.7,3.74,3.81,4.401,,3.87
335,3.7,3.74,3.81,4.408,,3.872
336,3.7,3.74,3.81,4.414,,3.875
337,3.7,3.74,3.81,4.421,,3.878
338,3.7,3.74,3.81,4.427,,3.88
339,3.7,3.74,3.81,4.434,,3.88
340,3.7,3.74,3.81,4.44,,3.88
341,3.7,3.74,3.81,4.446,,3.885
342,3.7,3.74,3.81,4.452,,3.89
343,3.7,3.74,3.81,4.458,,3.897
344,3.7,3.74,3.81,4.464,,3.903
345,3.7,3.74,3.81,4.47,,3.91
346,3.7,3.74,3.81,4.476,,3.918
347,3.7,3.74,3.81,4.482,,3.925
348,3.7,3.74,3.81,4.488,,3.932
349,3.7,3.74,3.81,4.494,,3.94
